Year,Historical,Ensemble,10th percentile,90th percentile,MIROC-ESM-CHEM ,NorESM1-ME ,HadGEM2-ES ,FGOALS-g2 ,GFDL-ESM2M ,IPSL-CM5A-MR ,MRI-CGCM3 ,HadGEM2-AO ,CSIRO-Mk3-6-0 ,MPI-ESM-LR ,NorESM1-M ,BNU-ESM ,GFDL-ESM2G ,MIROC5 ,GFDL-CM3 ,MIROC-ESM ,bcc-csm1-1 ,CNRM-CM5 ,CCSM4 ,CanESM2 ,CESM1-CAM5 ,bcc-csm1-1-m ,IPSL-CM5A-LR ,MPI-ESM-MR 
1998,44.8,75,35.3,115.25,87.7 ,87.7 ,116.3 ,50.3 ,127.9 ,65.0 ,28.8 ,83.7 ,73.8 ,83.7 ,85.2 ,63.4 ,99.4 ,85.1 ,85.7 ,95.1 ,58.3 ,114.2 ,68.4 ,39.9 ,61.0 ,30.7 ,55.1 ,59.5 
1999,48.1,78,37.35,127.65,100.9 ,85.4 ,46.9 ,66.6 ,139.8 ,41.2 ,60.8 ,71.8 ,92.2 ,103.9 ,65.3 ,94.7 ,64.6 ,67.2 ,71.7 ,73.7 ,92.8 ,37.0 ,172.2 ,37.7 ,13.6 ,115.5 ,96.0 ,77.0 
2000,87.1,72,35.65,112.8,51.0 ,33.2 ,24.4 ,53.5 ,88.4 ,40.9 ,78.8 ,47.7 ,81.7 ,152.7 ,90.5 ,81.9 ,103.1 ,38.1 ,53.1 ,82.9 ,71.7 ,88.5 ,63.2 ,122.5 ,76.7 ,58.4 ,74.7 ,80.8 
2001,35.7,71,35.7,145.85,150.5 ,75.7 ,156.3 ,44.5 ,66.8 ,41.8 ,52.5 ,45.3 ,90.3 ,47.0 ,78.6 ,62.3 ,60.6 ,43.9 ,65.6 ,74.8 ,27.1 ,141.2 ,93.3 ,29.6 ,93.5 ,60.5 ,67.1 ,47.3 
2002,94.9,67,17.1,112.8,46.7 ,63.9 ,88.3 ,99.0 ,80.7 ,63.3 ,29.3 ,74.1 ,116.7 ,108.9 ,43.6 ,57.4 ,73.6 ,35.5 ,20.6 ,57.8 ,58.6 ,13.6 ,10.3 ,73.9 ,105.7 ,88.9 ,156.5 ,57.1 
2003,48,78,40,133.2,84.3 ,37.4 ,91.2 ,133.3 ,60.5 ,84.3 ,131.8 ,101.6 ,54.9 ,84.0 ,52.8 ,96.6 ,67.8 ,67.6 ,70.4 ,134.6 ,71.3 ,42.6 ,68.4 ,27.8 ,73.1 ,133.1 ,56.1 ,68.3 
2004,78.5,81,39.1,164.65,60.8 ,50.4 ,106.4 ,62.5 ,43.1 ,41.0 ,61.2 ,37.2 ,174.2 ,90.7 ,78.7 ,108.4 ,80.6 ,180.8 ,155.1 ,52.9 ,53.8 ,55.8 ,25.6 ,54.2 ,78.8 ,106.8 ,105.7 ,98.8 
2005,96.7,73,35.3,111.05,112.1 ,66.7 ,56.1 ,49.3 ,46.7 ,58.4 ,110.0 ,95.5 ,94.5 ,43.6 ,96.2 ,83.9 ,83.6 ,49.0 ,61.0 ,27.0 ,95.7 ,83.3 ,63.9 ,57.2 ,89.7 ,17.4 ,84.5 ,133.9 
2006,67.7,86,43.95,139.7,71.7 ,62.6 ,99.6 ,93.0 ,44.6 ,68.5 ,43.3 ,112.4 ,99.3 ,86.8 ,64.0 ,85.0 ,88.0 ,156.4 ,132.6 ,105.7 ,28.0 ,66.6 ,95.3 ,71.7 ,80.1 ,83.4 ,78.1 ,146.8 
2007,60.5,67,30.9,100.8,84.8 ,82.3 ,23.6 ,83.2 ,95.6 ,97.7 ,74.6 ,81.5 ,70.0 ,47.4 ,45.5 ,60.7 ,38.2 ,101.5 ,51.8 ,62.1 ,83.2 ,15.9 ,40.7 ,44.8 ,79.1 ,39.2 ,117.7 ,100.1 
2008,49.1,89,48.2,152.45,76.5 ,91.2 ,78.0 ,79.8 ,71.2 ,67.7 ,72.1 ,217.4 ,87.2 ,127.6 ,112.1 ,53.8 ,128.3 ,77.0 ,94.1 ,60.9 ,52.7 ,43.7 ,82.3 ,27.8 ,176.6 ,73.6 ,95.0 ,109.9 
2009,127.2,78,38.1,113.25,139.8 ,77.7 ,51.9 ,40.2 ,62.6 ,80.2 ,105.6 ,63.1 ,36.0 ,77.4 ,101.0 ,84.1 ,33.7 ,57.4 ,107.0 ,110.2 ,103.3 ,42.0 ,90.8 ,56.0 ,116.3 ,85.7 ,104.2 ,66.2 
2010,39.1,77,30,132.9,88.2 ,66.5 ,91.9 ,66.0 ,49.2 ,134.2 ,74.7 ,73.5 ,73.2 ,92.3 ,50.5 ,97.9 ,79.1 ,131.6 ,33.2 ,70.5 ,84.6 ,55.9 ,67.7 ,31.0 ,11.4 ,128.5 ,174.1 ,29.0 
2011,104.5,81,46.4,117.3,122.1 ,90.3 ,60.8 ,110.6 ,76.9 ,56.7 ,73.6 ,100.5 ,112.5 ,53.5 ,93.4 ,58.3 ,81.3 ,87.4 ,51.8 ,72.8 ,69.1 ,79.8 ,108.9 ,41.0 ,21.6 ,97.4 ,104.1 ,131.9 
2012,40.2,70,26.2,111.4,82.7 ,60.3 ,76.8 ,110.0 ,14.5 ,92.5 ,30.5 ,52.9 ,108.9 ,21.9 ,45.6 ,98.0 ,68.9 ,142.1 ,55.1 ,92.7 ,88.6 ,63.2 ,35.6 ,67.3 ,112.8 ,67.0 ,33.2 ,78.9 
