Year,Historical,Ensemble,10th percentile,90th percentile,FGOALS-g2 ,MIROC5 ,NorESM1-M ,IPSL-CM5A-MR ,CESM1-CAM5 ,GFDL-ESM2G ,MIROC-ESM-CHEM ,MPI-ESM-MR ,IPSL-CM5A-LR ,GFDL-CM3 ,HadGEM2-AO ,CNRM-CM5 ,CSIRO-Mk3-6-0 ,MPI-ESM-LR ,bcc-csm1-1 ,MRI-CGCM3 ,NorESM1-ME ,GFDL-ESM2M ,BNU-ESM ,bcc-csm1-1-m ,MIROC-ESM ,CanESM2 ,CCSM4 ,HadGEM2-ES 
2017,,199,140,278,208.0 ,270.2 ,204.8 ,246.8 ,192.5 ,295.4 ,181.4 ,285.8 ,137.8 ,180.5 ,125.7 ,176.8 ,244.4 ,144.5 ,178.3 ,180.5 ,156.2 ,254.9 ,188.0 ,220.7 ,191.8 ,219.5 ,142.2 ,169.1 
2018,,208,145.3,265.05,287.0 ,176.9 ,263.2 ,139.5 ,184.6 ,252.3 ,224.8 ,217.9 ,244.3 ,161.5 ,226.0 ,151.1 ,56.8 ,195.6 ,266.9 ,227.4 ,210.0 ,254.9 ,202.4 ,189.0 ,229.4 ,218.2 ,198.1 ,224.0 
2019,,210,159.9,271.55,240.4 ,156.8 ,233.4 ,166.5 ,196.8 ,281.2 ,229.8 ,265.4 ,270.6 ,163.0 ,163.8 ,179.2 ,165.7 ,238.9 ,272.5 ,205.0 ,223.2 ,236.7 ,143.0 ,182.0 ,206.2 ,167.4 ,192.3 ,264.7 
2020,,188,133.1,278.75,165.8 ,142.0 ,205.8 ,189.8 ,167.8 ,169.1 ,170.3 ,263.2 ,137.3 ,292.0 ,136.4 ,201.3 ,200.6 ,268.0 ,137.0 ,224.9 ,129.8 ,174.0 ,144.7 ,258.8 ,139.8 ,119.7 ,289.5 ,196.6 
2021,,186,114.5,246.4,112.9 ,169.5 ,221.0 ,142.9 ,208.1 ,197.0 ,219.6 ,299.7 ,222.3 ,116.1 ,188.2 ,243.7 ,231.9 ,145.4 ,161.5 ,103.1 ,249.1 ,155.0 ,185.4 ,208.4 ,151.5 ,168.0 ,237.8 ,135.0 
2022,,194,124.7,272.45,176.3 ,255.2 ,188.1 ,140.6 ,289.7 ,149.2 ,120.9 ,128.4 ,171.4 ,244.2 ,127.1 ,223.3 ,182.8 ,127.7 ,215.6 ,138.2 ,249.0 ,331.6 ,195.9 ,241.4 ,212.4 ,219.3 ,211.1 ,122.3 
2023,,207,138.65,274.7,169.5 ,230.3 ,304.7 ,231.4 ,225.7 ,244.7 ,233.9 ,235.0 ,227.0 ,203.6 ,131.9 ,323.6 ,202.6 ,186.0 ,129.0 ,165.7 ,190.3 ,225.2 ,145.4 ,241.4 ,184.7 ,190.7 ,196.0 ,164.5 
2024,,199,146.55,268.75,210.1 ,143.3 ,183.6 ,175.4 ,174.0 ,197.1 ,223.1 ,149.8 ,283.6 ,246.7 ,154.0 ,158.3 ,166.3 ,194.8 ,197.1 ,170.4 ,202.1 ,241.1 ,131.3 ,287.3 ,234.1 ,189.7 ,207.9 ,253.9 
2025,,204,136.45,285.5,264.5 ,221.7 ,295.9 ,147.1 ,191.6 ,183.0 ,92.9 ,212.9 ,275.1 ,158.5 ,174.0 ,160.7 ,256.6 ,210.3 ,223.7 ,138.1 ,238.8 ,206.0 ,219.7 ,134.8 ,172.0 ,223.4 ,306.1 ,190.1 
2026,,194,130.15,262.2,206.9 ,229.4 ,175.7 ,186.5 ,177.6 ,160.6 ,188.6 ,280.8 ,143.7 ,172.0 ,207.3 ,219.0 ,218.7 ,167.1 ,102.0 ,174.4 ,162.0 ,340.9 ,226.2 ,220.6 ,147.6 ,195.6 ,116.6 ,243.6 
2027,,206,149.05,269.3,149.6 ,212.7 ,171.2 ,148.5 ,197.2 ,218.0 ,267.6 ,235.3 ,283.6 ,216.7 ,164.6 ,207.1 ,179.9 ,200.6 ,271.0 ,166.5 ,184.8 ,241.6 ,226.3 ,114.6 ,185.9 ,255.3 ,243.0 ,224.7 
2028,,195,125.4,270.2,115.6 ,236.8 ,291.8 ,239.1 ,241.4 ,141.0 ,222.9 ,208.9 ,272.0 ,158.0 ,194.8 ,178.5 ,127.7 ,163.3 ,123.1 ,182.5 ,241.3 ,150.8 ,182.2 ,196.9 ,268.4 ,251.6 ,168.2 ,128.7 
