Year,Historical,Ensemble,10th percentile,90th percentile,MIROC-ESM-CHEM ,NorESM1-ME ,HadGEM2-ES ,FGOALS-g2 ,GFDL-ESM2M ,IPSL-CM5A-MR ,MRI-CGCM3 ,HadGEM2-AO ,CSIRO-Mk3-6-0 ,MPI-ESM-LR ,NorESM1-M ,BNU-ESM ,GFDL-ESM2G ,MIROC5 ,GFDL-CM3 ,MIROC-ESM ,bcc-csm1-1 ,CNRM-CM5 ,CCSM4 ,CanESM2 ,CESM1-CAM5 ,bcc-csm1-1-m ,IPSL-CM5A-LR ,MPI-ESM-MR 
2010,232.3,234,139.3,352.75,177.3 ,302.0 ,223.4 ,261.6 ,184.0 ,220.3 ,219.0 ,123.4 ,252.3 ,258.0 ,294.5 ,214.5 ,185.1 ,428.5 ,155.2 ,192.3 ,175.0 ,309.0 ,273.2 ,396.5 ,86.6 ,159.1 ,297.4 ,249.0 
2011,283.6,212,134.05,290.4,227.0 ,294.3 ,327.5 ,173.3 ,165.9 ,104.1 ,212.7 ,241.3 ,252.9 ,242.4 ,133.5 ,162.7 ,212.7 ,285.6 ,135.8 ,269.6 ,207.2 ,218.5 ,189.9 ,286.5 ,143.2 ,228.4 ,134.6 ,239.6 
2012,248.5,240,159.9,336.3,229.8 ,212.1 ,224.8 ,379.7 ,263.0 ,168.8 ,271.6 ,192.2 ,319.7 ,284.7 ,206.7 ,206.9 ,212.4 ,352.9 ,273.7 ,198.5 ,294.6 ,175.1 ,133.8 ,151.0 ,193.1 ,278.4 ,239.0 ,298.4 
2013,230.8,231,145.15,316.45,231.1 ,279.2 ,196.3 ,237.2 ,224.6 ,183.3 ,410.5 ,244.5 ,277.9 ,271.6 ,293.3 ,216.3 ,339.6 ,268.6 ,143.4 ,292.2 ,187.5 ,161.8 ,145.8 ,144.5 ,178.4 ,248.0 ,162.8 ,207.3 
2014,,210,121.15,271.75,116.4 ,256.6 ,268.8 ,176.0 ,237.0 ,198.2 ,254.1 ,177.0 ,252.0 ,228.2 ,270.7 ,242.6 ,161.3 ,247.0 ,213.3 ,185.6 ,125.9 ,245.0 ,293.0 ,154.2 ,272.8 ,154.2 ,114.1 ,203.0 
2015,,224,155.3,330.85,281.4 ,212.6 ,285.5 ,233.4 ,188.0 ,185.6 ,193.4 ,241.3 ,287.5 ,401.8 ,360.9 ,166.3 ,224.0 ,192.2 ,203.6 ,188.4 ,171.2 ,144.3 ,123.5 ,192.5 ,173.3 ,232.9 ,300.8 ,194.5 
2016,,232,128.55,356.95,311.1 ,317.4 ,349.9 ,251.7 ,147.2 ,224.3 ,167.0 ,157.4 ,151.3 ,142.1 ,229.9 ,276.4 ,305.0 ,114.2 ,330.6 ,148.8 ,231.1 ,175.8 ,237.0 ,183.7 ,364.0 ,115.0 ,449.9 ,186.7 
2017,,208,129,303.6,167.9 ,205.5 ,290.7 ,187.2 ,342.2 ,256.1 ,240.4 ,119.8 ,267.9 ,62.2 ,143.2 ,239.6 ,185.5 ,269.2 ,245.6 ,178.2 ,241.3 ,201.5 ,138.2 ,158.4 ,149.2 ,162.5 ,230.2 ,316.5 
2018,,217,148.85,280.05,143.5 ,202.7 ,254.0 ,232.5 ,237.8 ,175.3 ,200.8 ,228.8 ,331.1 ,185.5 ,154.2 ,297.9 ,201.8 ,160.8 ,142.0 ,200.3 ,262.2 ,199.5 ,222.8 ,219.0 ,261.1 ,256.1 ,248.2 ,193.4 
2019,,207,105,323.9,178.3 ,93.1 ,369.0 ,169.9 ,111.8 ,264.5 ,175.8 ,181.4 ,201.2 ,107.8 ,242.7 ,249.1 ,244.9 ,319.0 ,141.3 ,199.5 ,168.7 ,122.9 ,254.8 ,262.5 ,328.8 ,179.4 ,102.2 ,305.4 
2020,,226,124.2,330.1,260.8 ,341.9 ,193.2 ,225.9 ,251.5 ,174.0 ,250.6 ,135.3 ,175.0 ,336.0 ,188.9 ,185.4 ,103.0 ,237.7 ,299.9 ,218.5 ,113.1 ,153.9 ,269.6 ,228.0 ,287.7 ,233.7 ,238.5 ,324.2 
2021,,240,155.25,320.45,317.1 ,287.8 ,288.1 ,148.5 ,228.7 ,284.6 ,262.8 ,162.0 ,228.6 ,339.4 ,181.0 ,231.8 ,291.8 ,229.7 ,240.9 ,212.6 ,295.3 ,192.0 ,323.8 ,115.5 ,174.6 ,257.1 ,275.9 ,196.9 
2022,,210,147.9,275.2,254.1 ,151.5 ,263.0 ,164.4 ,192.1 ,233.1 ,242.1 ,212.8 ,157.3 ,402.9 ,189.4 ,93.6 ,149.5 ,239.3 ,146.3 ,221.6 ,165.9 ,163.1 ,259.3 ,205.9 ,152.7 ,287.4 ,232.4 ,262.5 
2023,,215,135.05,294.95,312.6 ,232.2 ,148.5 ,143.0 ,127.1 ,203.1 ,252.0 ,247.4 ,102.3 ,350.4 ,236.2 ,198.5 ,270.9 ,211.9 ,149.1 ,277.3 ,175.5 ,238.5 ,227.0 ,182.7 ,203.4 ,243.9 ,178.2 ,249.7 
2024,,245,162.35,349.45,203.1 ,210.2 ,342.3 ,202.7 ,255.4 ,212.0 ,154.2 ,170.5 ,237.6 ,299.6 ,260.4 ,190.3 ,329.9 ,212.1 ,246.7 ,364.3 ,105.6 ,247.6 ,209.0 ,355.0 ,230.7 ,180.6 ,343.9 ,324.3 
2025,,235,151.3,352.2,297.6 ,153.3 ,213.6 ,122.4 ,278.1 ,242.4 ,241.3 ,186.3 ,151.7 ,372.9 ,150.9 ,242.8 ,184.3 ,198.7 ,333.6 ,222.4 ,246.2 ,260.1 ,370.8 ,224.1 ,268.2 ,257.3 ,172.5 ,267.1 
2026,,215,147.85,292.6,186.2 ,208.7 ,183.3 ,141.3 ,260.2 ,268.6 ,205.9 ,171.9 ,220.0 ,290.9 ,352.7 ,241.7 ,294.3 ,201.9 ,216.6 ,113.0 ,154.4 ,194.9 ,268.3 ,247.2 ,215.7 ,179.0 ,188.3 ,165.7 
2027,,238,176.5,319.8,217.1 ,288.1 ,171.0 ,213.2 ,139.9 ,291.7 ,246.1 ,260.0 ,182.0 ,344.7 ,247.6 ,243.7 ,311.1 ,245.7 ,206.7 ,247.9 ,220.4 ,328.5 ,193.8 ,213.3 ,244.3 ,244.5 ,214.6 ,212.9 
